d_date_id,Numerator,d_level0_id,Denominator,d_kpi_id,d_level1_id,d_level2_id
20210527,122840840.69124386,1,0,22,7,1
20210528,123450897.33080046,1,0,22,7,1
20210529,120125739.91464585,1,0,22,7,1
20210530,120003296.8977966,1,0,22,7,1
20210531,130307364.21128953,1,0,22,7,1
20210601,127424725.92546627,1,0,22,7,1
20210602,135298317.5303425,1,0,22,7,1
20210603,142645516.54317585,1,0,22,7,1
20210604,134988739.89546698,1,0,22,7,1
20210605,136725063.87882286,1,0,22,7,1
20210606,144536069.06144515,1,0,22,7,1
20210607,135510056.34153077,1,0,22,7,1
20210608,129636598.35375014,1,0,22,7,1
20210609,132606389.37688217,1,0,22,7,1
20210610,124146070.68707025,1,0,22,7,1
20210611,113170391.19386524,1,0,22,7,1
20210612,107889814.59366569,1,0,22,7,1
20210613,115833351.63951084,1,0,22,7,1
20210614,125164679.57299805,1,0,22,7,1
20210615,124398540.69749509,1,0,22,7,1
20210616,131776780.66130789,1,0,22,7,1
20210617,142088323.90775415,1,0,22,7,1
20210618,151369505.41426966,1,0,22,7,1
20210619,155953295.48963964,1,0,22,7,1
20210620,156089880.6817296,1,0,22,7,1
20210621,134302865.99718338,1,0,22,7,1
20210622,123114033.40734613,1,0,22,7,1
20210623,155596769.5778551,1,0,22,7,1
20210624,169674647.19536045,1,0,22,7,1
20210625,156614596.8778591,1,0,22,7,1
20210626,153640261.26643938,1,0,22,7,1
20210627,156176245.7478312,1,0,22,7,1
20210628,160388366.48080146,1,0,22,7,1
20210629,155739718.88083532,1,0,22,7,1
20210630,157858733.4108261,1,0,22,7,1
20210701,187082980.61639637,1,0,22,7,1
20210702,218911387.70759037,1,0,22,7,1
20210703,229134850.95413244,1,0,22,7,1
20210704,244874354.3567603,1,0,22,7,1
20210705,245632356.12596112,1,0,22,7,1
20210706,246638484.4856096,1,0,22,7,1
20210707,255515569.96115094,1,0,22,7,1
20210708,266054454.96339193,1,0,22,7,1
20210709,265543429.09780824,1,0,22,7,1
20210710,258195587.72445238,1,0,22,7,1
20210711,261427034.9723264,1,0,22,7,1
20210712,255522313.6747486,1,0,22,7,1
