d_date_id,Numerator,d_level0_id,Denominator,d_kpi_id,d_level1_id,d_level2_id
20190403,345047752.1604389,1,0,22,2,1
20190404,376345852.8440682,1,0,22,2,1
20190405,361609813.4649829,1,0,22,2,1
20190406,370359094.63567907,1,0,22,2,1
20190407,369642029.8751502,1,0,22,2,1
20190408,380067459.444917,1,0,22,2,1
20190409,399641460.9117817,1,0,22,2,1
20190410,399571610.6380378,1,0,22,2,1
20190411,407499477.991991,1,0,22,2,1
20190412,372795697.0498861,1,0,22,2,1
20190413,373316367.28055227,1,0,22,2,1
20190414,365542601.70111346,1,0,22,2,1
20190415,366278197.8155499,1,0,22,2,1
20190416,369264028.57068205,1,0,22,2,1
20190417,359298439.67703533,1,0,22,2,1
20190418,371930103.4754332,1,0,22,2,1
20190419,377838948.39400864,1,0,22,2,1
20190420,380474527.83401394,1,0,22,2,1
20190421,373746649.16765976,1,0,22,2,1
20190422,363404892.0329343,1,0,22,2,1
20190423,371161943.42243063,1,0,22,2,1
20190424,378743476.6416767,1,0,22,2,1
20190425,354902535.62005067,1,0,22,2,1
20190426,350601417.5003403,1,0,22,2,1
20190427,333854199.97644067,1,0,22,2,1
20190428,331935354.5303272,1,0,22,2,1
20190429,336672692.8671907,1,0,22,2,1
20190430,326074098.9006192,1,0,22,2,1
20190501,340570939.790675,1,0,22,2,1
20190502,348043838.8083432,1,0,22,2,1
20190503,341079873.0430404,1,0,22,2,1
20190504,348923222.9350307,1,0,22,2,1
20190505,344502886.6947216,1,0,22,2,1
20190506,345357531.5903565,1,0,22,2,1
20190507,345355038.0607484,1,0,22,2,1
20190508,376082203.26194197,1,0,22,2,1
20190509,355773309.17389834,1,0,22,2,1
20190510,357371457.2308628,1,0,22,2,1
20190511,353662253.3014344,1,0,22,2,1
20190512,380541293.31675404,1,0,22,2,1
20190513,385908572.8638186,1,0,22,2,1
20190514,392095037.2663873,1,0,22,2,1
20190515,418285030.8787179,1,0,22,2,1
20190516,459616077.4341475,1,0,22,2,1
20190517,464166998.5425897,1,0,22,2,1
20190518,429929092.23945487,1,0,22,2,1
20190519,440514936.2394329,1,0,22,2,1
20190520,470431999.443632,1,0,22,2,1
20190521,460658584.9964333,1,0,22,2,1
20190522,459230909.9218046,1,0,22,2,1
20190523,459472548.0478033,1,0,22,2,1
20190524,437468041.70030975,1,0,22,2,1
20190525,470866709.1785052,1,0,22,2,1
20190526,479118815.1938913,1,0,22,2,1
20190527,460906114.14769506,1,0,22,2,1
20190528,488747160.75559753,1,0,22,2,1
20190529,477375818.3455182,1,0,22,2,1
20190530,473495102.00653005,1,0,22,2,1
20190531,494227302.809629,1,0,22,2,1
20190601,452882807.9187562,1,0,22,2,1
20190602,478412395.3149899,1,0,22,2,1
20190603,480180302.67533255,1,0,22,2,1
20190604,468952652.300308,1,0,22,2,1
20190605,438073407.9267753,1,0,22,2,1
20190606,439775419.93428934,1,0,22,2,1
20190607,444297323.2990541,1,0,22,2,1
